Device,Temperature (C),Humidity,Timestamp
SHTC3,23.430,74.980,2022-06-16 18:07:52.071191+00:00
SHTC3,23.460,74.980,2022-06-16 18:07:52.586682+00:00
SHTC3,23.430,74.990,2022-06-16 18:07:53.099082+00:00
SHTC3,23.450,74.970,2022-06-16 18:07:53.608250+00:00
SHTC3,23.420,74.980,2022-06-16 18:07:54.120255+00:00
SHTC3,23.450,74.960,2022-06-16 18:07:54.632190+00:00
SHTC3,23.380,74.960,2022-06-16 18:07:55.145320+00:00
SHTC3,23.420,74.970,2022-06-16 18:07:55.655215+00:00
SHTC3,23.430,74.970,2022-06-16 18:07:56.163962+00:00
SHTC3,23.450,74.990,2022-06-16 18:07:56.677036+00:00
SHTC3,23.440,74.970,2022-06-16 18:07:57.191323+00:00
SHTC3,23.460,74.960,2022-06-16 18:07:57.700931+00:00
SHTC3,23.450,74.980,2022-06-16 18:07:58.213850+00:00
SHTC3,23.410,74.970,2022-06-16 18:07:58.728043+00:00
SHTC3,23.450,74.960,2022-06-16 18:07:59.243885+00:00
SHTC3,23.450,74.990,2022-06-16 18:07:59.756057+00:00
SHTC3,23.420,74.990,2022-06-16 18:08:00.265872+00:00
SHTC3,23.430,74.970,2022-06-16 18:08:00.776654+00:00
SHTC3,23.420,74.950,2022-06-16 18:08:01.287960+00:00
SHTC3,23.420,74.980,2022-06-16 18:08:01.799834+00:00
SHTC3,23.440,74.950,2022-06-16 18:08:02.300463+00:00
SHTC3,23.440,74.960,2022-06-16 18:08:02.811468+00:00
SHTC3,23.430,74.980,2022-06-16 18:08:03.328520+00:00
SHTC3,23.410,74.980,2022-06-16 18:08:03.840986+00:00
SHTC3,23.450,74.970,2022-06-16 18:08:04.350541+00:00
SHTC3,23.440,74.970,2022-06-16 18:08:04.851542+00:00
SHTC3,23.460,74.960,2022-06-16 18:08:05.363115+00:00
SHTC3,23.410,74.940,2022-06-16 18:08:05.878755+00:00
SHTC3,23.440,74.970,2022-06-16 18:08:06.392467+00:00
SHTC3,23.440,74.950,2022-06-16 18:08:06.907761+00:00
SHTC3,23.450,74.950,2022-06-16 18:08:07.407761+00:00
SHTC3,23.450,74.940,2022-06-16 18:08:07.924419+00:00
SHTC3,23.450,74.960,2022-06-16 18:08:08.438530+00:00
SHTC3,23.450,74.940,2022-06-16 18:08:08.949346+00:00
