Device,Current (mA),Timestamp
INA219,11.200,2022-06-16 18:10:55.869488+00:00
INA219,11.100,2022-06-16 18:10:56.324940+00:00
INA219,11.300,2022-06-16 18:10:56.888873+00:00
INA219,11.100,2022-06-16 18:10:57.342119+00:00
INA219,11.300,2022-06-16 18:10:57.904290+00:00
INA219,11.300,2022-06-16 18:10:58.359426+00:00
INA219,11.300,2022-06-16 18:10:58.925220+00:00
INA219,11.000,2022-06-16 18:10:59.363198+00:00
INA219,11.200,2022-06-16 18:10:59.909170+00:00
INA219,11.000,2022-06-16 18:11:00.391950+00:00
INA219,11.100,2022-06-16 18:11:00.941276+00:00
INA219,11.200,2022-06-16 18:11:01.423317+00:00
INA219,11.300,2022-06-16 18:11:01.985385+00:00
INA219,11.000,2022-06-16 18:11:02.453660+00:00
INA219,11.000,2022-06-16 18:11:03.014865+00:00
INA219,11.300,2022-06-16 18:11:03.470200+00:00
INA219,11.500,2022-06-16 18:11:04.034063+00:00
INA219,10.900,2022-06-16 18:11:04.486089+00:00
INA219,11.300,2022-06-16 18:11:05.046421+00:00
INA219,11.100,2022-06-16 18:11:05.501665+00:00
INA219,10.900,2022-06-16 18:11:06.062433+00:00
INA219,11.100,2022-06-16 18:11:06.530389+00:00
INA219,10.900,2022-06-16 18:11:07.090737+00:00
INA219,11.300,2022-06-16 18:11:07.547009+00:00
INA219,11.200,2022-06-16 18:11:08.110479+00:00
INA219,11.200,2022-06-16 18:11:08.564764+00:00
INA219,11.200,2022-06-16 18:11:09.127035+00:00
INA219,11.200,2022-06-16 18:11:09.596216+00:00
INA219,11.100,2022-06-16 18:11:10.156222+00:00
INA219,10.900,2022-06-16 18:11:10.626382+00:00
INA219,11.200,2022-06-16 18:11:11.189586+00:00
INA219,11.000,2022-06-16 18:11:11.640694+00:00
INA219,11.000,2022-06-16 18:11:12.186229+00:00
INA219,10.800,2022-06-16 18:11:12.669406+00:00
INA219,10.800,2022-06-16 18:11:13.233711+00:00
INA219,10.700,2022-06-16 18:11:13.688426+00:00
INA219,10.900,2022-06-16 18:11:14.247606+00:00
INA219,10.800,2022-06-16 18:11:14.716324+00:00
INA219,10.900,2022-06-16 18:11:15.278496+00:00
INA219,10.700,2022-06-16 18:11:15.745375+00:00
INA219,11.300,2022-06-16 18:11:16.306289+00:00
INA219,10.800,2022-06-16 18:11:16.772518+00:00
INA219,10.700,2022-06-16 18:11:17.337785+00:00
INA219,11.000,2022-06-16 18:11:17.789642+00:00
INA219,10.800,2022-06-16 18:11:18.301967+00:00
INA219,10.800,2022-06-16 18:11:18.845670+00:00
INA219,10.800,2022-06-16 18:11:19.329496+00:00
INA219,10.700,2022-06-16 18:11:19.891660+00:00
INA219,10.900,2022-06-16 18:11:20.359440+00:00
INA219,10.800,2022-06-16 18:11:20.926092+00:00
INA219,10.900,2022-06-16 18:11:21.364451+00:00
INA219,11.300,2022-06-16 18:11:21.925971+00:00
INA219,10.800,2022-06-16 18:11:22.395105+00:00
INA219,10.700,2022-06-16 18:11:22.959480+00:00
INA219,10.900,2022-06-16 18:11:23.399760+00:00
INA219,10.800,2022-06-16 18:11:23.961732+00:00
INA219,10.800,2022-06-16 18:11:24.418379+00:00
INA219,10.700,2022-06-16 18:11:24.978901+00:00
INA219,11.000,2022-06-16 18:11:25.447851+00:00
INA219,10.900,2022-06-16 18:11:26.010945+00:00
INA219,11.000,2022-06-16 18:11:26.463098+00:00
INA219,11.200,2022-06-16 18:11:27.024641+00:00
INA219,11.300,2022-06-16 18:11:27.477583+00:00
INA219,10.700,2022-06-16 18:11:28.038948+00:00
INA219,11.200,2022-06-16 18:11:28.491685+00:00
INA219,10.700,2022-06-16 18:11:29.052340+00:00
INA219,11.000,2022-06-16 18:11:29.506866+00:00
INA219,10.800,2022-06-16 18:11:30.068514+00:00
INA219,11.200,2022-06-16 18:11:30.522729+00:00
INA219,10.800,2022-06-16 18:11:31.086109+00:00
INA219,10.900,2022-06-16 18:11:31.539583+00:00
INA219,11.300,2022-06-16 18:11:32.100624+00:00
INA219,10.600,2022-06-16 18:11:32.553627+00:00
INA219,11.000,2022-06-16 18:11:33.113116+00:00
INA219,10.800,2022-06-16 18:11:33.568927+00:00
INA219,10.900,2022-06-16 18:11:34.131922+00:00
INA219,10.800,2022-06-16 18:11:34.584682+00:00
INA219,10.900,2022-06-16 18:11:35.147827+00:00
INA219,11.200,2022-06-16 18:11:35.614629+00:00
INA219,10.900,2022-06-16 18:11:36.160957+00:00
INA219,10.700,2022-06-16 18:11:36.639817+00:00
INA219,10.800,2022-06-16 18:11:37.190840+00:00
INA219,10.800,2022-06-16 18:11:37.643351+00:00
INA219,11.000,2022-06-16 18:11:38.205372+00:00
INA219,10.700,2022-06-16 18:11:38.673548+00:00
INA219,10.900,2022-06-16 18:11:39.233154+00:00
INA219,10.700,2022-06-16 18:11:39.703100+00:00
INA219,10.700,2022-06-16 18:11:40.250424+00:00
INA219,10.600,2022-06-16 18:11:40.721226+00:00
INA219,10.800,2022-06-16 18:11:41.284970+00:00
INA219,10.900,2022-06-16 18:11:41.734962+00:00
INA219,10.900,2022-06-16 18:11:42.297152+00:00
INA219,10.700,2022-06-16 18:11:42.762133+00:00
INA219,10.900,2022-06-16 18:11:43.325220+00:00
INA219,10.900,2022-06-16 18:11:43.791938+00:00
INA219,10.900,2022-06-16 18:11:44.358577+00:00
INA219,10.800,2022-06-16 18:11:44.808956+00:00
INA219,10.900,2022-06-16 18:11:45.372510+00:00
INA219,11.000,2022-06-16 18:11:45.825237+00:00
INA219,11.000,2022-06-16 18:11:46.387895+00:00
INA219,10.800,2022-06-16 18:11:46.843489+00:00
INA219,10.900,2022-06-16 18:11:47.409928+00:00
INA219,11.200,2022-06-16 18:11:47.862591+00:00
INA219,10.900,2022-06-16 18:11:48.423930+00:00
INA219,11.000,2022-06-16 18:11:48.891038+00:00
INA219,10.800,2022-06-16 18:11:49.457957+00:00
INA219,10.800,2022-06-16 18:11:49.910203+00:00
INA219,11.000,2022-06-16 18:11:50.469971+00:00
INA219,10.700,2022-06-16 18:11:50.938118+00:00
INA219,10.800,2022-06-16 18:11:51.500478+00:00
INA219,10.900,2022-06-16 18:11:51.968378+00:00
INA219,11.000,2022-06-16 18:11:52.527349+00:00
INA219,10.800,2022-06-16 18:11:52.982248+00:00
INA219,10.900,2022-06-16 18:11:53.544092+00:00
INA219,10.700,2022-06-16 18:11:53.998135+00:00
INA219,10.900,2022-06-16 18:11:54.559323+00:00
INA219,11.000,2022-06-16 18:11:55.018977+00:00
INA219,10.800,2022-06-16 18:11:55.579331+00:00
